|,huzarensla,هوزارينسلا
|,hunian,هونيان
|,humoristis,هوموريستيس
|,humifikasi,هوميفيكسي
|,humbut,هومبوت
|,humat,هومت
|,humanistis,هومنيستيس
|,humanisasi,هومنيسسي
|,hukumullah,حكومو الله
|,hudi,هودي
|,hubulwatan,هوبولوطن
|,hortikulturis,حورتيكولتوريس
|,horor,هورور
|,hornblenda,حورنبليندا
|,hormefobia,حورمفوبيا
|,hoplofobia,هوڤلوفوبيا
|,hoplofilia,هوڤلوفيليا
|,honoris,هونوريس
|,honorer,هونورير
|,hongkong,هوڠكوڠ
|,homologasi,هومولوڬسي
|,homo,هومو
|,homeostasi,هومياوستاسي
|,holografis,هولوڬرافيس
|,holobentos,هولوبنتوس
|,hiu,هياو
|,hitung-hitung,هيتوڠ-هيتوڠ
|,hitler-jugend,هيتلر-جوڬيند
|,histrionik,هيستريونئ
|,historikus,هيستوريكوس
|,histopatologi,هيستوڤتولوڬي
|,histokimia,هيستوكيميا
|,histerospasme,هيستروسڤسمى
|,histerosel,هيستروسل
|,histeroplasti,هيستروڤلاستي
|,histerisis,هيستريسيس
|,histerikal,هيستريكل
|,hirsutisme,هيرسوتيسمى
|,hipsifobia,هيڤسيفوبيا
|,hipotiroid,هيڤوتيرواد
|,hipotenusa,هيڤوتنوسا
|,hipoplasia,هيڤوڤلاسيا
|,hipomorf,هيڤوموف
|,hipomnesia,هيڤومنيسيا
|,hipomastia,هيڤومستيا
|,hipoksemia,هيڤوك سايميا
|,hipokritis,هيڤوكريتيس
|,hipokampus,هيڤوكمڤوس
|,hipokampal,هيڤوكمڤل
|,hipofremia,هيڤوفريميا
|,hipnolangsing,هيڤنولڠسيڠ
|,hipnofobia,هيڤنوفوبيا
|,hiperurisemia,هيڤيروريسميا
|,hipertrofi,هيڤيرتروفي
|,hipertrikosis,هيڤيرتريكوسيس
|,hipertonik,هيڤيرتونيك
|,hipersonik,هيڤيرسونيك
|,hipersalin,هيڤيرسالين
|,hipermedia,هيڤيرميديا
|,hiperkorek,هيڤيركوريق
|,hiperkelas,هيڤيركلس
|,hiperkalsemia,هيڤيركلسميا
|,hiperhidrosis,هيڤيرهيدروسيس
|,hipergolik,هيڤيرڬوليق
|,hiperglisemia,هيڤيرڬليسيميا
|,hiperglikemik,هيڤيرڬليكيميك
|,hiperglikemia,هيڤيرڬليكيميا
|,hiperbolis,هيڤيربوليس
|,hiperbarik,هيڤيرباريق
|,hiperandrogen,هيڤيرندروڬن
|,hiperamonemia,هيڤيرامونيميا
|,hiosiamina,هياوسيامينا
|,hindu,هيندو
|,himenoplastis,هيمينوڤلستيس
|,hilirisasi,هيليريساسي
|,hijaiah,حجاءيه
|,higrometri,هيڬروميتري
|,higrofobia,هيڬروفوبيا
|,higrofilia,هيڬروفيليا
|,higlokemia,هيڬلوكميا
|,hietografi,هيايتوڬرافي
|,hierofobia,هيايروفوبيا
|,hielofobia,هيايلوفوبيا
|,hidroselulosa,هيدروسلولوسا
|,hidropsoma,هيدروڤسوم
|,hidronefrosis,هيدرونيفروسيس
|,hidrometri,هيدروميتري
|,hidromekanika,هيدروميكانيكا
|,hidromagnetik,هيدرومڬنيتيق
|,hidrologia,هيدرولوڬيا
|,hidrolitik,هيدروليتيق
|,hidrolisat,هيدروليست
|,hidroksilisin,هيدروقسيليسين
|,hidrokortison,هيدروكورتيسون
|,hidrokinetika,هيدروقينيتيكا
|,hidrofitik,هيدروفيتيق
|,hidrofilia,هيدروفيليا
|,hidrodinamika,هيدرودينمايك
|,hidro,هيدرو
|,hidraulika,هيدراوليك
|,hibrida,هيبريد
|,hiatal,هيةال
|,hewan,هيوان
|,heterotrof,هيتيروتروف
|,heterosfer,هيتيروسفير
|,heteropolimer,هيتيروڤوليمير
|,heteronomi,هيتيرونومي
|,heterogenitas,هيتيروڬينيتس
|,heterogami,هيتيروڬمي
|,heteroatom,هيتيرواتوم
|,hesperidin,هيسڤريدين
|,herpetolog,هيرڤتولوڬ
|,heroik,هيروءيق
|,herniotomi,هيرنياوتومي
|,heritabilitas,هيريتابيليتاس
|,herbal,هيربل
|,heptameter,هيڤتامتر
|,hepatologi,هيڤتولوڬي
|,henoteisme,هينوتيئسمى
|,henle,هنلي
|,hemostatik,هيموستاتيق
|,hemostasis,هيموستاسيس
|,hemositometer,هيموسيتوميتر
|,hemosianin,هيموسينين
|,hemoptisis,هيموڤتيسيس
|,hemopteran,هيموڤتران
|,hemofiliak,هيموفيلياك
|,hemodilusi,هيمودلوسي
|,hemikordat,هيميكوردت
|,hemihedral,هيميهيدرال
|,hemiasetal,هيمياسيتل
|,hemeralopi,هيميرالوڤي
|,hematokrit,هيمتوكريت
|,helmintofobia,حلمينتوفوبيا
|,heliofobia,هيليوفوبيا
|,heliofilia,هيليوفيليا
|,heli,هيلي
|,heksasitik,هيكساسيتيق
|,heksameter,هيكسمايتير
|,hebefrenia,هيبيفرينيا
|,hawa,هاوا
|,haute,هاءوت
|,haustorium,هاوستوريوم
|,hatinya,هاتيڽ
|,hastakutub,هستاقطب
|,harungguan,هاروڠڬوان
|,harpaksofobia,هرڤقسوفوبيا
|,haribu,هاريبو
|,haptofobia,هاڤتوفوبيا
|,haploid,هاڤلويد
|,hanyasanya,هاڽساڽ
|,hantu-hantuan,هنتو-هنتوان
|,hankamrata,هنكمرات
|,handeuleum,هندياولاوم
|,han,هن
|,halusinatoris,هالوسيناتوريس
|,haloterapi,هلوتراڤي
|,halogenerator,هلوڬينراتور
|,halogenasi,هلوڬينسي
|,hakulyakin,حقاليقين
|,hakul,حقال
|,hail,هايل
|,hagiolatri,هاڬياولتري
|,hagiokrasi,هاڬياوكراسي
|,hagiografi,هاڬياوڬرافي
|,hadley,حدليي
|,hadat,هادت
|,habibullah,حبيبالله
|,habeas,هابياس
ha,حاء
|,ha,هاء
|,haah,هاعه
|,hab,هب
|,haba,هاب
|,habanera,هبانيرا
|,habeas corpus,هابيئس کورڤس
|,habelur,هابلور
|,habib,حبيب
